kind	entry	entry_rank	other	other_rank	detail
relemmatize	nota	1780	notar	1130	nota lemmatizes to notar
inflected	bolsa	1789	bolso	1568	bolsa is a regular inflection of bolso
relemmatize	cansado	1798	cansar	1227	cansado lemmatizes to cansar
inflected	chamada	1799	chamado	659	chamada is a regular inflection of chamado
relemmatize	chamada	1799	chamado	659	chamada lemmatizes to chamado
inflected	fila	1812	filo	3599	fila is a regular inflection of filo
inflected	vira	1840	viro	8340	vira is a regular inflection of viro
inflected	ponha	1848	ponho	3727	ponha is a regular inflection of ponho
relemmatize	sentado	1868	sentar	290	sentado lemmatizes to sentar
inflected	ponta	1935	ponto	500	ponta is a regular inflection of ponto
relemmatize	peça	1950	pedir	160	peça lemmatizes to pedir
relemmatize	compra	1951	comprar	332	compra lemmatizes to comprar
inflected	queixa	1952	queixo	4184	queixa is a regular inflection of queixo
inflected	bebida	1961	bebido	859	bebida is a regular inflection of bebido
relemmatize	bebida	1961	bebido	859	bebida lemmatizes to bebido
inflected	carteira	1975	carteiro	6283	carteira is a regular inflection of carteiro
relemmatize	criado	1978	criar	494	criado lemmatizes to criar
relemmatize	deixa	1983	deixar	59	deixa lemmatizes to deixar
relemmatize	zangado	2027	zangar	1424	zangado lemmatizes to zangar
relemmatize	ligado	2030	ligar	195	ligado lemmatizes to ligar
relemmatize	for	2036	ser	2	for lemmatizes to ser
relemmatize	assustado	2039	assustar	689	assustado lemmatizes to assustar
relemmatize	proposto	2050	propor	2314	proposto lemmatizes to propor
relemmatize	engraçado	2067	engraçar	914	engraçado lemmatizes to engraçar
inflected	acções	2096	acção	1277	acções is a regular inflection of acção
relemmatize	acções	2096	acção	1277	acções lemmatizes to acção
inflected	marca	2107	marco	2540	marca is a regular inflection of marco
relemmatize	marca	2107	marcar	740	marca lemmatizes to marcar
relemmatize	armado	2124	armar	1295	armado lemmatizes to armar
relemmatize	interessado	2129	interessar	466	interessado lemmatizes to interessar
relemmatize	apaixonado	2164	apaixonar	1118	apaixonado lemmatizes to apaixonar
relemmatize	vestido	2166	vestir	559	vestido lemmatizes to vestir
diacritic	idéia	2223	ideia	234	both fold to 'ideia'
inflected	junta	2229	junto	318	junta is a regular inflection of junto
relemmatize	junta	2229	juntar	643	junta lemmatizes to juntar
inflected	traseira	2238	traseiro	2032	traseira is a regular inflection of traseiro
relemmatize	traseira	2238	traseiro	2032	traseira lemmatizes to traseiro
inflected	china	2239	chino	9156	china is a regular inflection of chino
inflected	memórias	2279	memória	1229	memórias is a regular inflection of memória
relemmatize	privado	2300	privar	1913	privado lemmatizes to privar
inflected	despedida	2330	despedido	9151	despedida is a regular inflection of despedido
relemmatize	seguido	2346	seguir	257	seguido lemmatizes to seguir
inflected	moda	2391	modo	749	moda is a regular inflection of modo
relemmatize	comprimido	2392	comprimir	4696	comprimido lemmatizes to comprimir
inflected	boneca	2417	boneco	3334	boneca is a regular inflection of boneco
inflected	bem-vinda	2432	bem-vindo	1149	bem-vinda is a regular inflection of bem-vindo
relemmatize	bem-vinda	2432	bem-vindo	1149	bem-vinda lemmatizes to bem-vindo
relemmatize	apanhado	2438	apanhar	223	apanhado lemmatizes to apanhar
inflected	noutra	2448	noutro	1962	noutra is a regular inflection of noutro
relemmatize	chateado	2493	chatear	1093	chateado lemmatizes to chatear
inflected	tê-la	2508	tê-lo	1552	tê-la is a regular inflection of tê-lo
relemmatize	leva	2532	levar	130	leva lemmatizes to levar
relemmatize	encontrado	2561	encontrar	101	encontrado lemmatizes to encontrar
relemmatize	usado	2578	usar	196	usado lemmatizes to usar
relemmatize	culpado	2583	culpar	844	culpado lemmatizes to culpar
relemmatize	bota	2592	botar	4630	bota lemmatizes to botar
inflected	chegada	2594	chegado	6021	chegada is a regular inflection of chegado
relemmatize	roubado	2596	roubar	382	roubado lemmatizes to roubar
inflected	gaja	2618	gajo	669	gaja is a regular inflection of gajo
relemmatize	vindo	2624	vir	61	vindo lemmatizes to vir
relemmatize	parado	2630	parar	158	parado lemmatizes to parar
relemmatize	destruído	2636	destruir	530	destruído lemmatizes to destruir
inflected	milha	2637	milho	3784	milha is a regular inflection of milho
relemmatize	milha	2637	milhar	1328	milha lemmatizes to milhar
relemmatize	asa	2638	asar	4314	asa lemmatizes to asar
relemmatize	enganado	2653	enganar	609	enganado lemmatizes to enganar
inflected	vê-los	2657	vê-lo	868	vê-los is a regular inflection of vê-lo
inflected	filhas	2670	filho	159	filhas is a regular inflection of filho
relemmatize	calado	2674	calar	416	calado lemmatizes to calar
relemmatize	divertido	2690	divertir	433	divertido lemmatizes to divertir
inflected	pasta	2694	pasto	9858	pasta is a regular inflection of pasto
inflected	caos	2708	cao	8967	caos is a regular inflection of cao
relemmatize	complicado	2709	complicar	1418	complicado lemmatizes to complicar
inflected	prata	2723	prato	1871	prata is a regular inflection of prato
inflected	feita	2731	feito	299	feita is a regular inflection of feito
relemmatize	feita	2731	feito	299	feita lemmatizes to feito
inflected	passa	2754	passo	741	passa is a regular inflection of passo
relemmatize	passa	2754	passar	82	passa lemmatizes to passar
relemmatize	separado	2787	separar	1159	separado lemmatizes to separar
relemmatize	preferido	2802	preferir	585	preferido lemmatizes to preferir
relemmatize	estai	2813	estar	6	estai lemmatizes to estar
inflected	munições	2818	munição	7295	munições is a regular inflection of munição
relemmatize	acordado	2820	acordar	456	acordado lemmatizes to acordar
relemmatize	sincronizado	2832	sincronizar	7556	sincronizado lemmatizes to sincronizar
inflected	diz-lhes	2837	diz-lhe	1183	diz-lhes is a regular inflection of diz-lhe
relemmatize	diz-lhes	2837	diz-lhe	1183	diz-lhes lemmatizes to diz-lhe
inflected	ha	2839	ho	4813	ha is a regular inflection of ho
relemmatize	assassinado	2848	assassinar	1209	assassinado lemmatizes to assassinar
relemmatize	roda	2876	rodar	2299	roda lemmatizes to rodar
relemmatize	volte	2881	voltar	134	volte lemmatizes to voltar
relemmatize	descoberto	2891	descobrir	258	descoberto lemmatizes to descobrir
relemmatize	pesado	2897	pesar	1766	pesado lemmatizes to pesar
inflected	imensa	2947	imenso	1088	imensa is a regular inflection of imenso
relemmatize	espera	2974	esperar	75	espera lemmatizes to esperar
inflected	fruta	2985	fruto	3987	fruta is a regular inflection of fruto
relemmatize	enviado	2997	enviar	422	enviado lemmatizes to enviar
relemmatize	aposta	2998	apostar	553	aposta lemmatizes to apostar
inflected	barata	3000	barato	2765	barata is a regular inflection of barato
inflected	esperta	3031	esperto	1190	esperta is a regular inflection of esperto
diacritic	ê	3048	e	7	both fold to 'e'
diacritic	hã	3065	ha	2839	both fold to 'ha'
inflected	jóias	3084	jóia	5537	jóias is a regular inflection of jóia
relemmatize	jóias	3084	jóia	5537	jóias lemmatizes to jóia
relemmatize	ocupado	3096	ocupar	753	ocupado lemmatizes to ocupar
relemmatize	conversa	3148	conversar	408	conversa lemmatizes to conversar
relemmatize	ajuda	3152	ajudar	103	ajuda lemmatizes to ajudar
diacritic	bebê	3174	bebé	442	both fold to 'bebe'
inflected	ferida	3189	ferido	1453	ferida is a regular inflection of ferido
relemmatize	ferida	3189	ferido	1453	ferida lemmatizes to ferido
inflected	luvas	3203	luva	5655	luvas is a regular inflection of luva
relemmatize	desesperado	3211	desesperar	3465	desesperado lemmatizes to desesperar
inflected	mota	3252	moto	3745	mota is a regular inflection of moto
relemmatize	saia	3258	sair	100	saia lemmatizes to sair
relemmatize	atacado	3285	atacar	607	atacado lemmatizes to atacar
relemmatize	sagrado	3296	sagrar	2994	sagrado lemmatizes to sagrar
relemmatize	procura	3299	procurar	207	procura lemmatizes to procurar
relemmatize	aliado	3325	aliar	3761	aliado lemmatizes to aliar
relemmatize	olhado	3350	olhar	115	olhado lemmatizes to olhar
relemmatize	folha	3351	folhar	3144	folha lemmatizes to folhar
relemmatize	mina	3362	minar	2310	mina lemmatizes to minar
relemmatize	gelado	3364	gelar	1968	gelado lemmatizes to gelar
relemmatize	ameaça	3368	ameaçar	848	ameaça lemmatizes to ameaçar
inflected	linda	3372	lindo	381	linda is a regular inflection of lindo
relemmatize	linda	3372	lindo	381	linda lemmatizes to lindo
inflected	ana	3395	ano	106	ana is a regular inflection of ano
diacritic	so	3466	só	42	both fold to 'so'
diacritic	familia	3467	família	243	both fold to 'familia'
relemmatize	fada	3491	fadar	3613	fada lemmatizes to fadar
relemmatize	lixado	3503	lixar	658	lixado lemmatizes to lixar
diacritic	ma	3506	má	1371	both fold to 'ma'
inflected	ma	3506	mo	2772	ma is a regular inflection of mo
relemmatize	florido	3547	florir	7522	florido lemmatizes to florir
relemmatize	marcado	3560	marcar	740	marcado lemmatizes to marcar
inflected	dar-lhes	3570	dar-lhe	1153	dar-lhes is a regular inflection of dar-lhe
relemmatize	dar-lhes	3570	dar-lhe	1153	dar-lhes lemmatizes to dar-lhe
diacritic	ja	3601	já	43	both fold to 'ja'
inflected	luta	3602	luto	3202	luta is a regular inflection of luto
relemmatize	luta	3602	lutar	334	luta lemmatizes to lutar
relemmatize	enterrado	3614	enterrar	1330	enterrado lemmatizes to enterrar
relemmatize	bate	3617	bater	427	bate lemmatizes to bater
relemmatize	trancado	3632	trancar	2038	trancado lemmatizes to trancar
relemmatize	algema	3636	algemar	4148	algema lemmatizes to algemar
inflected	coca	3657	coco	4532	coca is a regular inflection of coco
inflected	baixa	3678	baixo	393	baixa is a regular inflection of baixo
relemmatize	baixa	3678	baixar	684	baixa lemmatizes to baixar
inflected	directa	3698	directo	2028	directa is a regular inflection of directo
relemmatize	directa	3698	directo	2028	directa lemmatizes to directo
inflected	correcta	3732	correcto	1398	correcta is a regular inflection of correcto
relemmatize	correcta	3732	correcto	1398	correcta lemmatizes to correcto
inflected	honesta	3739	honesto	1764	honesta is a regular inflection of honesto
relemmatize	amado	3779	amar	379	amado lemmatizes to amar
inflected	usá-la	3780	usá-lo	3199	usá-la is a regular inflection of usá-lo
relemmatize	abandonado	3782	abandonar	867	abandonado lemmatizes to abandonar
diacritic	è	3810	e	7	both fold to 'e'
inflected	paga	3815	pago	1223	paga is a regular inflection of pago
relemmatize	paga	3815	pagar	301	paga lemmatizes to pagar
relemmatize	sentido	3833	sentir	117	sentido lemmatizes to sentir
relemmatize	vista	3834	visto	627	vista lemmatizes to visto
relemmatize	fodido	3838	foder	1109	fodido lemmatizes to foder
inflected	vivas	3839	vivo	303	vivas is a regular inflection of vivo
inflected	insectos	3850	insecto	5035	insectos is a regular inflection of insecto
relemmatize	insectos	3850	insecto	5035	insectos lemmatizes to insecto
relemmatize	atingido	3857	atingir	893	atingido lemmatizes to atingir
inflected	actos	3894	acto	2496	actos is a regular inflection of acto
relemmatize	actos	3894	acto	2496	actos lemmatizes to acto
inflected	objectos	3906	objecto	3382	objectos is a regular inflection of objecto
relemmatize	objectos	3906	objecto	3382	objectos lemmatizes to objecto
inflected	alta	3925	alto	461	alta is a regular inflection of alto
relemmatize	alta	3925	alto	461	alta lemmatizes to alto
inflected	gémeos	3956	gémeo	3264	gémeos is a regular inflection of gémeo
relemmatize	actriz	3969	actor	3278	actriz lemmatizes to actor
relemmatize	retirado	3990	retirar	902	retirado lemmatizes to retirar
inflected	eléctrica	3993	eléctrico	5146	eléctrica is a regular inflection of eléctrico
relemmatize	eléctrica	3993	eléctrico	5146	eléctrica lemmatizes to eléctrico
relemmatize	queimado	4005	queimar	1082	queimado lemmatizes to queimar
relemmatize	pertence	4011	pertencer	933	pertence lemmatizes to pertencer
relemmatize	coitado	4020	coitar	4719	coitado lemmatizes to coitar
relemmatize	emboscado	4049	emboscar	9906	emboscado lemmatizes to emboscar
inflected	música	4054	músico	622	música is a regular inflection of músico
relemmatize	música	4054	músico	622	música lemmatizes to músico
inflected	mata	4085	mato	1430	mata is a regular inflection of mato
relemmatize	mata	4085	matar	122	mata lemmatizes to matar
diacritic	março	4099	marco	2540	both fold to 'marco'
inflected	frita	4109	frito	4620	frita is a regular inflection of frito
relemmatize	frita	4109	fritar	4387	frita lemmatizes to fritar
relemmatize	falha	4118	falhar	680	falha lemmatizes to falhar
inflected	actividades	4125	actividade	3074	actividades is a regular inflection of actividade
relemmatize	actividades	4125	actividade	3074	actividades lemmatizes to actividade
relemmatize	relacionado	4160	relacionar	3001	relacionado lemmatizes to relacionar
relemmatize	tomado	4171	tomar	216	tomado lemmatizes to tomar
relemmatize	acabado	4173	acabar	143	acabado lemmatizes to acabar
inflected	presa	4174	preso	594	presa is a regular inflection of preso
relemmatize	presa	4174	presar	1506	presa lemmatizes to presar
relemmatize	perca	4176	perder	193	perca lemmatizes to perder
inflected	putas	4177	puta	751	putas is a regular inflection of puta
relemmatize	putas	4177	puta	751	putas lemmatizes to puta
relemmatize	raptado	4181	raptar	1916	raptado lemmatizes to raptar
relemmatize	falhado	4213	falhar	680	falhado lemmatizes to falhar
relemmatize	proibido	4220	proibir	2451	proibido lemmatizes to proibir
relemmatize	tratado	4221	tratar	260	tratado lemmatizes to tratar
relemmatize	cortado	4235	cortar	540	cortado lemmatizes to cortar
inflected	detectives	4245	detective	984	detectives is a regular inflection of detective
relemmatize	detectives	4245	detective	984	detectives lemmatizes to detective
relemmatize	mm	4248	m	1182	mm lemmatizes to m
inflected	olha	4266	olho	277	olha is a regular inflection of olho
relemmatize	olha	4266	olhar	115	olha lemmatizes to olhar
relemmatize	avançado	4269	avançar	907	avançado lemmatizes to avançar
relemmatize	forçado	4273	forçar	1605	forçado lemmatizes to forçar
relemmatize	deitado	4277	deitar	630	deitado lemmatizes to deitar
relemmatize	elevado	4282	elevar	3109	elevado lemmatizes to elevar
relemmatize	controlado	4286	controlar	696	controlado lemmatizes to controlar
relemmatize	carregado	4294	carregar	1010	carregado lemmatizes to carregar
inflected	cais	4304	cal	3673	cais is a regular inflection of cal
relemmatize	animado	4312	animar	2474	animado lemmatizes to animar
inflected	vinda	4322	vindo	2624	vinda is a regular inflection of vindo
relemmatize	vinda	4322	vindo	2624	vinda lemmatizes to vindo
relemmatize	liga	4329	ligar	195	liga lemmatizes to ligar
relemmatize	adequado	4335	adequar	3783	adequado lemmatizes to adequar
relemmatize	cobra	4350	cobrar	1723	cobra lemmatizes to cobrar
inflected	cheia	4382	cheio	567	cheia is a regular inflection of cheio
relemmatize	cheia	4382	cheio	567	cheia lemmatizes to cheio
relemmatize	baseado	4407	basear	2384	baseado lemmatizes to basear
inflected	dantes	4413	dante	5541	dantes is a regular inflection of dante
relemmatize	informado	4418	informar	1163	informado lemmatizes to informar
relemmatize	colocado	4419	colocar	403	colocado lemmatizes to colocar
relemmatize	construído	4431	construir	766	construído lemmatizes to construir
relemmatize	condenado	4435	condenar	1630	condenado lemmatizes to condenar
inflected	dada	4446	dado	911	dada is a regular inflection of dado
relemmatize	dada	4446	dado	911	dada lemmatizes to dado
inflected	tintas	4450	tinto	2471	tintas is a regular inflection of tinto
relemmatize	viciado	4453	viciar	3595	viciado lemmatizes to viciar
relemmatize	treinado	4462	treinar	1301	treinado lemmatizes to treinar
inflected	vinha	4467	vinho	1148	vinha is a regular inflection of vinho
relemmatize	vinha	4467	vir	61	vinha lemmatizes to vir
inflected	imensas	4476	imenso	1088	imensas is a regular inflection of imenso
relemmatize	caçado	4495	caçar	1624	caçado lemmatizes to caçar
diacritic	nâo	4498	não	4	both fold to 'nao'
relemmatize	acusado	4499	acusar	1293	acusado lemmatizes to acusar
relemmatize	excitado	4510	excitar	2678	excitado lemmatizes to excitar
inflected	pegada	4513	pegado	7677	pegada is a regular inflection of pegado
relemmatize	pegada	4513	pegado	7677	pegada lemmatizes to pegado
inflected	whoa	4521	whoo	9026	whoa is a regular inflection of whoo
relemmatize	entusiasmado	4525	entusiasmar	3527	entusiasmado lemmatizes to entusiasmar
diacritic	vôo	4540	voo	1233	both fold to 'voo'
relemmatize	desenhado	4571	desenhar	2125	desenhado lemmatizes to desenhar
diacritic	aquí	4576	aqui	35	both fold to 'aqui'
relemmatize	entrega	4578	entregar	571	entrega lemmatizes to entregar
inflected	pata	4603	pato	2557	pata is a regular inflection of pato
relemmatize	pata	4603	pato	2557	pata lemmatizes to pato
relemmatize	autorizado	4613	autorizar	2338	autorizado lemmatizes to autorizar
inflected	barra	4628	barro	8420	barra is a regular inflection of barro
relemmatize	barra	4628	barrar	4324	barra lemmatizes to barrar
relemmatize	chega	4642	chegar	129	chega lemmatizes to chegar
inflected	óptimas	4644	óptimo	328	óptimas is a regular inflection of óptimo
relemmatize	óptimas	4644	óptimo	328	óptimas lemmatizes to óptimo
relemmatize	dourado	4669	dourar	4255	dourado lemmatizes to dourar
inflected	pô-la	4677	pô-lo	3302	pô-la is a regular inflection of pô-lo
relemmatize	pedido	4695	pedir	160	pedido lemmatizes to pedir
relemmatize	apertado	4701	apertar	1331	apertado lemmatizes to apertar
relemmatize	violado	4718	violar	1870	violado lemmatizes to violar
inflected	tê-los	4728	tê-lo	1552	tê-los is a regular inflection of tê-lo
relemmatize	crescido	4735	crescer	674	crescido lemmatizes to crescer
inflected	directora	4736	director	1412	directora is a regular inflection of director
relemmatize	directora	4736	director	1412	directora lemmatizes to director
relemmatize	perturbado	4749	perturbar	2423	perturbado lemmatizes to perturbar
inflected	óptimos	4754	óptimo	328	óptimos is a regular inflection of óptimo
relemmatize	óptimos	4754	óptimo	328	óptimos lemmatizes to óptimo
relemmatize	reunido	4761	reunir	1351	reunido lemmatizes to reunir
relemmatize	habituado	4791	habituar	2085	habituado lemmatizes to habituar
diacritic	alguem	4798	alguém	142	both fold to 'alguem'
relemmatize	apagado	4818	apagar	1199	apagado lemmatizes to apagar
inflected	ponhas	4820	ponha	1848	ponhas is a regular inflection of ponha
diacritic	dificil	4834	difícil	359	both fold to 'dificil'
relemmatize	molhado	4853	molhar	3153	molhado lemmatizes to molhar
relemmatize	tirado	4860	tirar	218	tirado lemmatizes to tirar
inflected	técnica	4866	técnico	1787	técnica is a regular inflection of técnico
relemmatize	técnica	4866	técnico	1787	técnica lemmatizes to técnico
relemmatize	impressionado	4872	impressionar	2090	impressionado lemmatizes to impressionar
relemmatize	magoado	4877	magoar	551	magoado lemmatizes to magoar
inflected	paula	4879	paulo	6605	paula is a regular inflection of paulo
relemmatize	cruzado	4886	cruzar	2091	cruzado lemmatizes to cruzar
inflected	gata	4894	gato	1121	gata is a regular inflection of gato
inflected	aberta	4897	aberto	815	aberta is a regular inflection of aberto
relemmatize	aberta	4897	aberto	815	aberta lemmatizes to aberto
diacritic	cocó	4906	coco	4532	both fold to 'coco'
inflected	ya	4918	yo	4575	ya is a regular inflection of yo
relemmatize	abençoado	4924	abençoar	1945	abençoado lemmatizes to abençoar
inflected	limpa	4935	limpo	1171	limpa is a regular inflection of limpo
relemmatize	limpa	4935	limpar	638	limpa lemmatizes to limpar
relemmatize	registado	4940	registar	2265	registado lemmatizes to registar
relemmatize	libertado	4941	libertar	765	libertado lemmatizes to libertar
relemmatize	limitado	4947	limitar	2686	limitado lemmatizes to limitar
relemmatize	afastado	4958	afastar	448	afastado lemmatizes to afastar
inflected	cheira	4959	cheiro	1237	cheira is a regular inflection of cheiro
relemmatize	cheira	4959	cheirar	968	cheira lemmatizes to cheirar
relemmatize	afiado	4974	afiar	6804	afiado lemmatizes to afiar
diacritic	cú	4987	cu	1369	both fold to 'cu'
inflected	donuts	4990	donut	7340	donuts is a regular inflection of donut
diacritic	bébé	5027	bebé	442	both fold to 'bebe'
inflected	política	5030	político	1114	política is a regular inflection of político
relemmatize	política	5030	político	1114	política lemmatizes to político
relemmatize	rodado	5031	rodar	2299	rodado lemmatizes to rodar
relemmatize	isolado	5037	isolar	2868	isolado lemmatizes to isolar
relemmatize	cortina	5044	cortinar	5581	cortina lemmatizes to cortinar
relemmatize	congelado	5051	congelar	2767	congelado lemmatizes to congelar
inflected	manda	5052	mando	2434	manda is a regular inflection of mando
relemmatize	manda	5052	mandar	254	manda lemmatizes to mandar
inflected	amo-a	5068	amo-o	5560	amo-a is a regular inflection of amo-o
relemmatize	amo-a	5068	amo-o	5560	amo-a lemmatizes to amo-o
inflected	asneira	5074	asneiro	3030	asneira is a regular inflection of asneiro
relemmatize	asneira	5074	asneiro	3030	asneira lemmatizes to asneiro
relemmatize	confirmado	5093	confirmar	1022	confirmado lemmatizes to confirmar
inflected	táctica	5094	táctico	9829	táctica is a regular inflection of táctico
relemmatize	táctica	5094	táctico	9829	táctica lemmatizes to táctico
relemmatize	causado	5100	causar	296	causado lemmatizes to causar
inflected	exacta	5103	exacto	1556	exacta is a regular inflection of exacto
relemmatize	exacta	5103	exacto	1556	exacta lemmatizes to exacto
relemmatize	obcecado	5138	obcecar	3963	obcecado lemmatizes to obcecar
relemmatize	desligado	5177	desligar	661	desligado lemmatizes to desligar
inflected	americana	5181	americano	634	americana is a regular inflection of americano
relemmatize	americana	5181	americano	634	americana lemmatizes to americano
inflected	longa	5185	longo	688	longa is a regular inflection of longo
relemmatize	longa	5185	longo	688	longa lemmatizes to longo
inflected	is	5191	l	1614	is is a regular inflection of l
inflected	objectivos	5199	objectivo	1640	objectivos is a regular inflection of objectivo
relemmatize	objectivos	5199	objectivo	1640	objectivos lemmatizes to objectivo
inflected	actores	5201	actor	3278	actores is a regular inflection of actor
relemmatize	actores	5201	actor	3278	actores lemmatizes to actor
relemmatize	armadilha	5204	armadilhar	1820	armadilha lemmatizes to armadilhar
relemmatize	escuta	5225	escutar	492	escuta lemmatizes to escutar
diacritic	tambem	5236	também	111	both fold to 'tambem'
relemmatize	refugiado	5242	refugiar	7605	refugiado lemmatizes to refugiar
relemmatize	mancha	5243	manchar	3393	mancha lemmatizes to manchar
relemmatize	desgraçado	5246	desgraçar	2936	desgraçado lemmatizes to desgraçar
diacritic	po	5249	pó	2159	both fold to 'po'
relemmatize	encantado	5251	encantar	3432	encantado lemmatizes to encantar
diacritic	ã	5253	à	45	both fold to 'a'
relemmatize	cercado	5259	cercar	3479	cercado lemmatizes to cercar
inflected	perdida	5260	perdido	785	perdida is a regular inflection of perdido
relemmatize	perdida	5260	perdido	785	perdida lemmatizes to perdido
relemmatize	fantasia	5266	fantasiar	2773	fantasia lemmatizes to fantasiar
